UPZ_id,Cult_id,gasto_id,valor
19.0,6,NPCFP25BA,0
11.0,6,NPCFP25BA,0
11.0,6,NPCFP25BA,0
11.0,6,NPCFP25BA,0
18.0,6,NPCFP25BA,0
18.0,6,NPCFP25BA,0
18.0,6,NPCFP25BA,0
28.0,6,NPCFP25BA,0
28.0,6,NPCFP25BA,0
101.0,6,NPCFP25BA,0
810.0,6,NPCFP25BA,0
32.0,6,NPCFP25BA,0
812.0,6,NPCFP25BA,0
812.0,6,NPCFP25BA,0
52.0,6,NPCFP25BA,0
62.0,6,NPCFP25BA,0
62.0,6,NPCFP25BA,0
69.0,6,NPCFP25BA,0
69.0,6,NPCFP25BA,0
27.0,6,NPCFP25BA,0
28.0,6,NPCFP25BA,0
21.0,6,NPCFP25BA,0
21.0,6,NPCFP25BA,0
21.0,6,NPCFP25BA,0
30.0,6,NPCFP25BA,0
73.0,6,NPCFP25BA,0
73.0,6,NPCFP25BA,0
37.0,6,NPCFP25BA,0
37.0,6,NPCFP25BA,0
37.0,6,NPCFP25BA,0
37.0,6,NPCFP25BA,0
815.0,6,NPCFP25BA,0
815.0,6,NPCFP25BA,0
69.0,6,NPCFP25BA,0
66.0,6,NPCFP25BA,0
70.0,6,NPCFP25BA,0
70.0,6,NPCFP25BA,0
79.0,6,NPCFP25BA,0
79.0,6,NPCFP25BA,0
79.0,6,NPCFP25BA,0
79.0,6,NPCFP25BA,0
79.0,6,NPCFP25BA,0
79.0,6,NPCFP25BA,0
47.0,6,NPCFP25BA,0
81.0,6,NPCFP25BA,0
110.0,1,NPCFP25BA,0
811.0,6,NPCFP25BA,0
811.0,6,NPCFP25BA,0
811.0,6,NPCFP25BA,0
58.0,6,NPCFP25BA,0
58.0,6,NPCFP25BA,0
58.0,6,NPCFP25BA,0
112.0,6,NPCFP25BA,0
112.0,6,NPCFP25BA,0
45.0,6,NPCFP25BA,0
45.0,6,NPCFP25BA,0
45.0,6,NPCFP25BA,0
45.0,6,NPCFP25BA,0
39.0,6,NPCFP25BA,0
39.0,6,NPCFP25BA,0
39.0,6,NPCFP25BA,0
39.0,6,NPCFP25BA,0
42.0,6,NPCFP25BA,0
82.0,6,NPCFP25BA,0
82.0,6,NPCFP25BA,0
82.0,6,NPCFP25BA,0
80.0,5,NPCFP25BA,0
80.0,5,NPCFP25BA,0
80.0,6,NPCFP25BA,0
83.0,6,NPCFP25BA,0
802.0,6,NPCFP25BA,0
809.0,6,NPCFP25BA,0
810.0,6,NPCFP25BA,0
810.0,6,NPCFP25BA,0
98.0,6,NPCFP25BA,0
98.0,6,NPCFP25BA,0
96.0,6,NPCFP25BA,0
96.0,6,NPCFP25BA,0
81.0,6,NPCFP25BA,0
81.0,6,NPCFP25BA,0
81.0,6,NPCFP25BA,0
81.0,6,NPCFP25BA,0
48.0,6,NPCFP25BA,0
48.0,6,NPCFP25BA,0
48.0,6,NPCFP25BA,0
48.0,6,NPCFP25BA,0
75.0,6,NPCFP25BA,0
76.0,6,NPCFP25BA,0
110.0,6,NPCFP25BA,0
